Chr01_00008907,chr01_000008907
Chr01_22660963,chr01_022660963
Chr01_22674801,chr01_022674801
Chr01_22792171,chr01_022792171
Chr01_23092666,chr01_023092666
Chr01_23128018,chr01_023128018
Chr01_23358064,chr01_023358064
Chr01_23358151,chr01_023358151
Chr01_23604552,chr01_023604552
Chr01_23640059,chr01_023640059
Chr01_23640129,chr01_023640129
Chr01_23651321,chr01_023651321
Chr01_23651350,chr01_023651350
Chr01_23653711,chr01_023653711
Chr01_23761878,chr01_023761878
Chr01_23798068,chr01_023798068
Chr01_23800643,chr01_023800643
Chr01_23800778,chr01_023800778
Chr01_24464273,chr01_024464273
Chr01_24823549,chr01_024823549
Chr01_24823569,chr01_024823569
Chr01_24823577,chr01_024823577
Chr01_24823605,chr01_024823605
Chr01_24823665,chr01_024823665
Chr01_24823666,chr01_024823666
Chr01_25103462,chr01_025103462
Chr01_25103486,chr01_025103486
Chr01_25472146,chr01_025472146
Chr01_25972164,chr01_025972164
Chr01_25999889,chr01_025999889
Chr01_25999896,chr01_025999896
Chr01_25999897,chr01_025999897
chr01_26008411,chr01_026008411
Chr01_26246353,chr01_026246353
Chr01_26246387,chr01_026246387
Chr01_26475375,chr01_026475375
Chr01_26475423,chr01_026475423
Chr01_26475463,chr01_026475463
Chr01_26475487,chr01_026475487
Chr01_26475584,chr01_026475584
Chr01_26491438,chr01_026491438
Chr01_26491587,chr01_026491587
Chr01_26549108,chr01_026549108
Chr01_26549199,chr01_026549199
Chr01_26549212,chr01_026549212
Chr01_27031571,chr01_027031571
Chr01_27031610,chr01_027031610
Chr01_28014493,chr01_028014493
Chr01_28014577,chr01_028014577
Chr01_28062583,chr01_028062583
Chr01_28062629,chr01_028062629
Chr01_28062632,chr01_028062632
Chr01_28062739,chr01_028062739
Chr01_28912415,chr01_028912415
Chr01_28912435,chr01_028912435
Chr01_29184283,chr01_029184283
Chr01_29389567,chr01_029389567
Chr01_29556091,chr01_029556091
Chr01_29558344,chr01_029558344
Chr01_29877619,chr01_029877619
Chr01_29877717,chr01_029877717
Chr01_29877744,chr01_029877744
Chr01_30263914,chr01_030263914
Chr01_30316071,chr01_030316071
Chr01_30316077,chr01_030316077
Chr01_30316086,chr01_030316086
Chr01_30316138,chr01_030316138
Chr01_30741122,chr01_030741122
Chr01_30742341,chr01_030742341
Chr01_30742405,chr01_030742405
Chr01_30742444,chr01_030742444
chr01_31162161,chr01_031162161
Chr01_31352977,chr01_031352977
Chr01_31537857,chr01_031537857
Chr01_31537878,chr01_031537878
Chr01_31700436,chr01_031700436
Chr01_31700541,chr01_031700541
Chr01_31794634,chr01_031794634
Chr01_31797284,chr01_031797284
Chr01_32392319,chr01_032392319
Chr01_32392331,chr01_032392331
Chr01_32392390,chr01_032392390
Chr01_32392487,chr01_032392487
Chr01_33320787,chr01_033320787
Chr01_33605889,chr01_033605889
Chr01_33605896,chr01_033605896
Chr01_33605915,chr01_033605915
Chr01_33606040,chr01_033606040
Chr01_33767903,chr01_033767903
Chr01_33768022,chr01_033768022
Chr01_33806827,chr01_033806827
Chr01_34311779,chr01_034311779
chr01_34520148,chr01_034520148
chr01_34619411,chr01_034619411
Chr01_34832858,chr01_034832858
Chr01_35121599,chr01_035121599
Chr01_35264260,chr01_035264260
Chr01_35633764,chr01_035633764
Chr01_35653398,chr01_035653398
Chr01_35653510,chr01_035653510
Chr01_35653573,chr01_035653573
Chr01_35832998,chr01_035832998
Chr01_35833004,chr01_035833004
Chr01_35833075,chr01_035833075
Chr01_36364677,chr01_036364677
Chr01_36685024,chr01_036685024
Chr01_36723205,chr01_036723205
Chr01_36925318,chr01_036925318
Chr01_36925419,chr01_036925419
Chr01_36925504,chr01_036925504
Chr01_36925517,chr01_036925517
Chr01_36939785,chr01_036939785
Chr01_36939832,chr01_036939832
Chr01_36941014,chr01_036941014
Chr01_36941040,chr01_036941040
Chr01_36941053,chr01_036941053
chr01_37753942,chr01_037753942
Chr01_37756427,chr01_037756427
Chr01_37756444,chr01_037756444
Chr01_37756503,chr01_037756503
Chr01_37756510,chr01_037756510
Chr01_37756522,chr01_037756522
Chr01_37756579,chr01_037756579
Chr01_37756604,chr01_037756604
Chr01_37876277,chr01_037876277
Chr01_37940139,chr01_037940139
Chr01_39082143,chr01_039082143
Chr01_39082182,chr01_039082182
Chr01_39097109,chr01_039097109
chr01_39120985,chr01_039120985
Chr01_39308781,chr01_039308781
Chr01_39343429,chr01_039343429
chr01_40079858,chr01_040079858
Chr01_40172977,chr01_040172977
Chr01_40303398,chr01_040303398
Chr01_40341049,chr01_040341049
Chr01_40341089,chr01_040341089
Chr01_40341099,chr01_040341099
Chr01_40348232,chr01_040348232
Chr01_40348300,chr01_040348300
Chr01_40683530,chr01_040683530
Chr01_40683539,chr01_040683539
Chr01_40683540,chr01_040683540
Chr01_40683543,chr01_040683543
Chr01_40725824,chr01_040725824
Chr01_40725903,chr01_040725903
Chr01_40791087,chr01_040791087
Chr01_40791267,chr01_040791267
Chr01_40860638,chr01_040860638
Chr01_41160086,chr01_041160086
Chr01_41160194,chr01_041160194
Chr01_41360992,chr01_041360992
Chr01_41360999,chr01_041360999
Chr01_41369530,chr01_041369530
Chr01_41564970,chr01_041564970
Chr01_41635548,chr01_041635548
Chr01_41658421,chr01_041658421
Chr01_41658442,chr01_041658442
Chr01_41658451,chr01_041658451
Chr01_41658463,chr01_041658463
Chr01_41658478,chr01_041658478
Chr01_41658488,chr01_041658488
Chr01_41658515,chr01_041658515
Chr01_41720422,chr01_041720422
Chr01_41720437,chr01_041720437
Chr01_42113433,chr01_042113433
Chr01_42305029,chr01_042305029
Chr01_42305034,chr01_042305034
Chr01_42305079,chr01_042305079
Chr01_42305086,chr01_042305086
Chr01_42546361,chr01_042546361
chr01_42831102,chr01_042831102
Chr01_43317317,chr01_043317317
chr01_43321344,chr01_043321344
Chr01_43564813,chr01_043564813
Chr01_43609797,chr01_043609797
Chr01_43789377,chr01_043789377
Chr01_43789426,chr01_043789426
chr01_43895404,chr01_043895404
chr01_44035175,chr01_044035175
Chr01_44261400,chr01_044261400
Chr01_45320095,chr01_045320095
Chr01_46041731,chr01_046041731
Chr01_46311201,chr01_046311201
Chr01_46505152,chr01_046505152
Chr01_46505272,chr01_046505272
Chr01_46507151,chr01_046507151
Chr01_46890114,chr01_046890114
Chr01_46952789,chr01_046952789
Chr01_46952882,chr01_046952882
Chr01_47185671,chr01_047185671
Chr01_47188043,chr01_047188043
Chr01_47188102,chr01_047188102
Chr01_47188152,chr01_047188152
Chr01_47582078,chr01_047582078
Chr01_47674607,chr01_047674607
Chr01_47676044,chr01_047676044
Chr01_47676137,chr01_047676137
Chr01_47733281,chr01_047733281
Chr01_47974958,chr01_047974958
Chr01_47981156,chr01_047981156
Chr01_48463286,chr01_048463286
Chr01_48522389,chr01_048522389
Chr01_48623341,chr01_048623341
chr01_48995696,chr01_048995696
Chr02_00342231,chr02_000342231
Chr02_00411350,chr02_000411350
Chr02_00448546,chr02_000448546
Chr02_00964056,chr02_000964056
Chr02_01457361,chr02_001457361
Chr02_01457415,chr02_001457415
Chr02_01602366,chr02_001602366
Chr02_01602372,chr02_001602372
Chr02_01693396,chr02_001693396
Chr02_01799990,chr02_001799990
Chr02_01916425,chr02_001916425
Chr02_02114419,chr02_002114419
Chr02_02124059,chr02_002124059
Chr02_02361795,chr02_002361795
Chr02_02364388,chr02_002364388
Chr02_02765594,chr02_002765594
Chr02_02766483,chr02_002766483
Chr02_03090428,chr02_003090428
Chr02_03262669,chr02_003262669
Chr02_03262682,chr02_003262682
Chr02_03374238,chr02_003374238
Chr02_03933260,chr02_003933260
Chr02_04069514,chr02_004069514
Chr02_04632097,chr02_004632097
Chr02_04632118,chr02_004632118
Chr02_04632139,chr02_004632139
Chr02_04632149,chr02_004632149
Chr02_04856486,chr02_004856486
Chr02_04856493,chr02_004856493
Chr02_04856523,chr02_004856523
Chr02_04938348,chr02_004938348
Chr02_04938364,chr02_004938364
Chr02_04998040,chr02_004998040
Chr02_05031306,chr02_005031306
Chr02_05078769,chr02_005078769
Chr02_05078815,chr02_005078815
Chr02_05082930,chr02_005082930
Chr02_05082944,chr02_005082944
Chr02_05082971,chr02_005082971
Chr02_05083121,chr02_005083121
Chr02_05333201,chr02_005333201
Chr02_05604751,chr02_005604751
Chr02_05604808,chr02_005604808
Chr02_05604821,chr02_005604821
Chr02_05604828,chr02_005604828
Chr02_05799327,chr02_005799327
Chr02_05799465,chr02_005799465
Chr02_05799490,chr02_005799490
Chr02_05955564,chr02_005955564
Chr02_05955744,chr02_005955744
Chr02_05961316,chr02_005961316
Chr02_06303971,chr02_006303971
Chr02_06304021,chr02_006304021
Chr02_06304029,chr02_006304029
Chr02_06304039,chr02_006304039
Chr02_06304084,chr02_006304084
Chr02_06304096,chr02_006304096
Chr02_06304103,chr02_006304103
Chr02_06320758,chr02_006320758
Chr02_06322991,chr02_006322991
Chr02_06638238,chr02_006638238
Chr02_06731901,chr02_006731901
Chr02_06882335,chr02_006882335
Chr02_06882480,chr02_006882480
Chr02_06912172,chr02_006912172
Chr02_07188123,chr02_007188123
Chr02_07636084,chr02_007636084
Chr02_07636175,chr02_007636175
Chr02_07636176,chr02_007636176
Chr02_07636197,chr02_007636197
Chr02_07636205,chr02_007636205
Chr02_07734861,chr02_007734861
Chr02_07990055,chr02_007990055
Chr02_08073933,chr02_008073933
Chr02_08073935,chr02_008073935
Chr02_08341392,chr02_008341392
Chr02_08410309,chr02_008410309
Chr02_08458332,chr02_008458332
chr02_08699099,chr02_008699099
chr02_08778693,chr02_008778693
Chr02_08835722,chr02_008835722
Chr02_08835784,chr02_008835784
Chr02_08835842,chr02_008835842
Chr02_08855143,chr02_008855143
Chr02_09115504,chr02_009115504
Chr02_09166445,chr02_009166445
chr02_09551395,chr02_009551395
Chr02_10178124,chr02_010178124
Chr02_10178207,chr02_010178207
Chr02_10589428,chr02_010589428
Chr02_10589497,chr02_010589497
Chr02_10589532,chr02_010589532
Chr02_10927625,chr02_010927625
Chr02_11191395,chr02_011191395
Chr02_11263944,chr02_011263944
Chr02_11264074,chr02_011264074
Chr02_11323538,chr02_011323538
Chr02_11409656,chr02_011409656
Chr02_11579440,chr02_011579440
Chr02_11602187,chr02_011602187
Chr02_11730619,chr02_011730619
Chr02_11741724,chr02_011741724
Chr02_11741882,chr02_011741882
Chr02_11750556,chr02_011750556
Chr02_12176279,chr02_012176279
Chr02_12774276,chr02_012774276
Chr02_13405618,chr02_013405618
Chr02_13405677,chr02_013405677
Chr02_13483139,chr02_013483139
Chr02_13654261,chr02_013654261
Chr02_13654329,chr02_013654329
chr02_13727826,chr02_013727826
Chr02_13769419,chr02_013769419
Chr02_14243169,chr02_014243169
Chr02_14716098,chr02_014716098
Chr02_14716150,chr02_014716150
Chr02_15007978,chr02_015007978
Chr02_15008159,chr02_015008159
Chr02_15096663,chr02_015096663
Chr02_15149311,chr02_015149311
Chr02_15149323,chr02_015149323
Chr02_15414824,chr02_015414824
Chr02_15414906,chr02_015414906
Chr02_15414929,chr02_015414929
Chr02_16369950,chr02_016369950
Chr02_17109149,chr02_017109149
chr02_17345602,chr02_017345602
Chr02_17636880,chr02_017636880
Chr02_17636914,chr02_017636914
Chr02_17760463,chr02_017760463
Chr02_17760493,chr02_017760493
chr02_18169881,chr02_018169881
Chr02_18887712,chr02_018887712
Chr02_19150104,chr02_019150104
Chr02_19908339,chr02_019908339
Chr02_21038289,chr02_021038289
Chr02_21038347,chr02_021038347
Chr02_21038359,chr02_021038359
Chr02_21167457,chr02_021167457
Chr02_22058065,chr02_022058065
Chr02_22554245,chr02_022554245
Chr02_23441529,chr02_023441529
Chr02_23441563,chr02_023441563
Chr02_23916119,chr02_023916119
chr02_24050222,chr02_024050222
Chr02_24076170,chr02_024076170
Chr02_24425393,chr02_024425393
Chr02_24888319,chr02_024888319
Chr02_25752929,chr02_025752929
Chr02_25844269,chr02_025844269
Chr02_26202722,chr02_026202722
Chr02_26753556,chr02_026753556
Chr02_27015707,chr02_027015707
Chr02_27020941,chr02_027020941
Chr02_27020946,chr02_027020946
Chr02_27021015,chr02_027021015
Chr02_27075905,chr02_027075905
Chr02_27381410,chr02_027381410
Chr02_27382144,chr02_027382144
Chr02_27973850,chr02_027973850
Chr02_28271516,chr02_028271516
Chr02_28271523,chr02_028271523
Chr02_28271544,chr02_028271544
Chr02_28271554,chr02_028271554
Chr02_28271581,chr02_028271581
Chr02_28271586,chr02_028271586
chr02_28651939,chr02_028651939
Chr02_29280624,chr02_029280624
Chr02_29418075,chr02_029418075
Chr02_29437919,chr02_029437919
Chr02_29693120,chr02_029693120
Chr02_29807791,chr02_029807791
Chr02_29821059,chr02_029821059
Chr02_29823143,chr02_029823143
Chr02_30170426,chr02_030170426
chr02_30548194,chr02_030548194
Chr02_30574416,chr02_030574416
Chr02_30574437,chr02_030574437
Chr02_30574438,chr02_030574438
Chr02_30574502,chr02_030574502
Chr02_30574505,chr02_030574505
Chr02_30574512,chr02_030574512
Chr02_30574526,chr02_030574526
Chr02_30812795,chr02_030812795
Chr02_30832430,chr02_030832430
Chr02_30832537,chr02_030832537
Chr02_30832546,chr02_030832546
Chr02_30832559,chr02_030832559
Chr02_30966022,chr02_030966022
Chr02_30966117,chr02_030966117
Chr02_31384145,chr02_031384145
Chr02_31384151,chr02_031384151
Chr02_31384173,chr02_031384173
Chr02_31848846,chr02_031848846
Chr02_31848884,chr02_031848884
Chr02_32251451,chr02_032251451
Chr02_32251507,chr02_032251507
Chr02_32251546,chr02_032251546
Chr02_32251584,chr02_032251584
Chr02_32652008,chr02_032652008
Chr02_32652039,chr02_032652039
Chr02_32652134,chr02_032652134
Chr02_32652172,chr02_032652172
Chr02_32652176,chr02_032652176
Chr02_32652200,chr02_032652200
Chr02_32894268,chr02_032894268
Chr02_32894283,chr02_032894283
Chr02_32894325,chr02_032894325
Chr02_32916864,chr02_032916864
Chr02_32916871,chr02_032916871
Chr02_32916910,chr02_032916910
Chr02_33057973,chr02_033057973
Chr02_33791781,chr02_033791781
Chr02_33791882,chr02_033791882
Chr02_33791944,chr02_033791944
Chr02_33903550,chr02_033903550
Chr02_33931247,chr02_033931247
Chr02_34048173,chr02_034048173
Chr02_34114251,chr02_034114251
Chr02_34214976,chr02_034214976
Chr02_34662489,chr02_034662489
Chr02_34662495,chr02_034662495
Chr02_34662499,chr02_034662499
Chr02_34662501,chr02_034662501
Chr02_34961557,chr02_034961557
Chr02_34961595,chr02_034961595
Chr02_34961740,chr02_034961740
Chr02_35003827,chr02_035003827
Chr02_35003851,chr02_035003851
Chr02_35008127,chr02_035008127
chr02_35019750,chr02_035019750
Chr02_35185310,chr02_035185310
Chr02_35185364,chr02_035185364
Chr02_35185377,chr02_035185377
Chr02_35504039,chr02_035504039
Chr02_36143226,chr02_036143226
Chr02_36143301,chr02_036143301
Chr02_36582174,chr02_036582174
Chr02_37447361,chr02_037447361
Chr02_37729930,chr02_037729930
Chr02_37754301,chr02_037754301
Chr02_38292141,chr02_038292141
Chr02_39073674,chr02_039073674
Chr02_39480065,chr02_039480065
Chr02_40124310,chr02_040124310
Chr03_00281604,chr03_000281604
Chr03_00281698,chr03_000281698
Chr03_00826444,chr03_000826444
Chr03_01072073,chr03_001072073
Chr03_01072117,chr03_001072117
Chr03_01118887,chr03_001118887
Chr03_01118896,chr03_001118896
Chr03_01346486,chr03_001346486
Chr03_01346528,chr03_001346528
Chr03_01346562,chr03_001346562
Chr03_01528328,chr03_001528328
Chr03_01628334,chr03_001628334
chr03_01632089,chr03_001632089
Chr03_01873184,chr03_001873184
Chr03_01873190,chr03_001873190
Chr03_01873216,chr03_001873216
Chr03_01873243,chr03_001873243
Chr03_01873393,chr03_001873393
Chr03_01873407,chr03_001873407
Chr03_01910384,chr03_001910384
Chr03_01960943,chr03_001960943
Chr03_02219376,chr03_002219376
Chr03_02219522,chr03_002219522
Chr03_02448239,chr03_002448239
Chr03_03415470,chr03_003415470
Chr03_03440421,chr03_003440421
Chr03_03444121,chr03_003444121
Chr03_03765841,chr03_003765841
Chr03_03766732,chr03_003766732
Chr03_03977446,chr03_003977446
Chr03_04293528,chr03_004293528
Chr03_04751471,chr03_004751471
Chr03_04751524,chr03_004751524
Chr03_04816697,chr03_004816697
Chr03_04818036,chr03_004818036
Chr03_04822657,chr03_004822657
Chr03_05135213,chr03_005135213
Chr03_05258295,chr03_005258295
Chr03_05693184,chr03_005693184
Chr03_05693367,chr03_005693367
Chr03_06057159,chr03_006057159
Chr03_06304857,chr03_006304857
Chr03_06304864,chr03_006304864
Chr03_06304906,chr03_006304906
Chr03_06304931,chr03_006304931
Chr03_06591500,chr03_006591500
Chr03_06786456,chr03_006786456
Chr03_06843937,chr03_006843937
chr03_07079961,chr03_007079961
Chr03_07109519,chr03_007109519
Chr03_07109600,chr03_007109600
Chr03_07109647,chr03_007109647
Chr03_07109681,chr03_007109681
Chr03_07265091,chr03_007265091
Chr03_07690352,chr03_007690352
Chr03_08002369,chr03_008002369
Chr03_08002420,chr03_008002420
Chr03_08002459,chr03_008002459
Chr03_08002478,chr03_008002478
Chr03_08002516,chr03_008002516
Chr03_08002522,chr03_008002522
Chr03_08230786,chr03_008230786
Chr03_08690157,chr03_008690157
Chr03_08690174,chr03_008690174
Chr03_08690180,chr03_008690180
Chr03_08690188,chr03_008690188
Chr03_08805496,chr03_008805496
Chr03_09167023,chr03_009167023
Chr03_09517631,chr03_009517631
Chr03_10131436,chr03_010131436
Chr03_10154368,chr03_010154368
Chr03_10334277,chr03_010334277
Chr03_10614989,chr03_010614989
Chr03_11013029,chr03_011013029
chr03_11155236,chr03_011155236
Chr03_11236871,chr03_011236871
Chr03_11236889,chr03_011236889
Chr03_11612060,chr03_011612060
Chr03_11934996,chr03_011934996
Chr03_12524539,chr03_012524539
Chr03_13008327,chr03_013008327
Chr03_13143638,chr03_013143638
Chr03_13511587,chr03_013511587
Chr03_13919007,chr03_013919007
Chr03_14132286,chr03_014132286
chr03_14302649,chr03_014302649
Chr03_14476621,chr03_014476621
Chr03_14476636,chr03_014476636
Chr03_14476637,chr03_014476637
Chr03_14476759,chr03_014476759
Chr03_14476787,chr03_014476787
Chr03_14476805,chr03_014476805
Chr03_15027014,chr03_015027014
Chr03_15027053,chr03_015027053
Chr03_15520089,chr03_015520089
Chr03_15520100,chr03_015520100
Chr03_15520108,chr03_015520108
Chr03_15706835,chr03_015706835
Chr03_16120497,chr03_016120497
Chr03_16347115,chr03_016347115
Chr03_16347226,chr03_016347226
Chr03_16347251,chr03_016347251
Chr03_16612426,chr03_016612426
Chr03_17192073,chr03_017192073
Chr03_17277730,chr03_017277730
Chr03_17894631,chr03_017894631
Chr03_18227227,chr03_018227227
Chr03_18624912,chr03_018624912
Chr03_18730739,chr03_018730739
Chr03_18981987,chr03_018981987
Chr03_19001366,chr03_019001366
Chr03_19062058,chr03_019062058
chr03_19590642,chr03_019590642
Chr03_20158089,chr03_020158089
Chr03_20158230,chr03_020158230
Chr03_20282880,chr03_020282880
chr03_20339031,chr03_020339031
Chr03_20704405,chr03_020704405
Chr03_20984675,chr03_020984675
Chr03_21344748,chr03_021344748
Chr03_21606826,chr03_021606826
Chr03_22098058,chr03_022098058
Chr03_22303164,chr03_022303164
Chr03_22852144,chr03_022852144
Chr03_22998646,chr03_022998646
Chr03_22998657,chr03_022998657
Chr03_23052626,chr03_023052626
Chr03_23052670,chr03_023052670
chr03_23432708,chr03_023432708
Chr03_23451565,chr03_023451565
Chr03_23451579,chr03_023451579
chr03_23451655,chr03_023451655
Chr03_23872840,chr03_023872840
Chr03_24235625,chr03_024235625
Chr03_24235654,chr03_024235654
Chr03_24235655,chr03_024235655
Chr03_24235661,chr03_024235661
Chr03_24235760,chr03_024235760
Chr03_24235832,chr03_024235832
Chr03_24310225,chr03_024310225
Chr03_24310313,chr03_024310313
Chr03_24405170,chr03_024405170
Chr03_24405222,chr03_024405222
chr03_24644041,chr03_024644041
Chr03_25023783,chr03_025023783
Chr03_25302434,chr03_025302434
Chr03_25592266,chr03_025592266
Chr03_25871375,chr03_025871375
Chr03_26047967,chr03_026047967
Chr03_26322717,chr03_026322717
chr03_26500531,chr03_026500531
Chr03_26852215,chr03_026852215
