Panel_markerID,Marker_ID
alfalfaRep2vsXJDY1_shared_1071425,alfalfaRep2vsXJDY1_shared_1071425
alfalfaRep2vsXJDY1_shared_1071762,alfalfaRep2vsXJDY1_shared_1071762
alfalfaRep2vsXJDY1_shared_1072470,alfalfaRep2vsXJDY1_shared_1072470
alfalfaRep2vsXJDY1_shared_1072948,alfalfaRep2vsXJDY1_shared_1072948
alfalfaRep2vsXJDY1_shared_1073299,alfalfaRep2vsXJDY1_shared_1073299
alfalfaRep2vsXJDY1_shared_1073529,alfalfaRep2vsXJDY1_shared_1073529
alfalfaRep2vsXJDY1_shared_1073938,alfalfaRep2vsXJDY1_shared_1073938
alfalfaRep2vsXJDY1_shared_1074556,alfalfaRep2vsXJDY1_shared_1074556
alfalfaRep2vsXJDY1_shared_1075079,alfalfaRep2vsXJDY1_shared_1075079
alfalfaRep2vsXJDY1_shared_1075630,alfalfaRep2vsXJDY1_shared_1075630
alfalfaRep2vsXJDY1_shared_1075673,alfalfaRep2vsXJDY1_shared_1075673
alfalfaRep2vsXJDY1_shared_1075711,alfalfaRep2vsXJDY1_shared_1075711
alfalfaRep2vsXJDY1_shared_1076501,alfalfaRep2vsXJDY1_shared_1076501
alfalfaRep2vsXJDY1_shared_107708,alfalfaRep2vsXJDY1_shared_107708
alfalfaRep2vsXJDY1_shared_1077697,alfalfaRep2vsXJDY1_shared_1077697
alfalfaRep2vsXJDY1_shared_1079138,alfalfaRep2vsXJDY1_shared_1079138
alfalfaRep2vsXJDY1_shared_1080535,alfalfaRep2vsXJDY1_shared_1080535
alfalfaRep2vsXJDY1_shared_1081105,alfalfaRep2vsXJDY1_shared_1081105
alfalfaRep2vsXJDY1_shared_1082293,alfalfaRep2vsXJDY1_shared_1082293
alfalfaRep2vsXJDY1_shared_1082711,alfalfaRep2vsXJDY1_shared_1082711
alfalfaRep2vsXJDY1_shared_1084220,alfalfaRep2vsXJDY1_shared_1084220
alfalfaRep2vsXJDY1_shared_1084815,alfalfaRep2vsXJDY1_shared_1084815
alfalfaRep2vsXJDY1_shared_1085575,alfalfaRep2vsXJDY1_shared_1085575
alfalfaRep2vsXJDY1_shared_1086550,alfalfaRep2vsXJDY1_shared_1086550
alfalfaRep2vsXJDY1_shared_1088066,alfalfaRep2vsXJDY1_shared_1088066
alfalfaRep2vsXJDY1_shared_1088260,alfalfaRep2vsXJDY1_shared_1088260
alfalfaRep2vsXJDY1_shared_1089085,alfalfaRep2vsXJDY1_shared_1089085
alfalfaRep2vsXJDY1_shared_1089378,alfalfaRep2vsXJDY1_shared_1089378
alfalfaRep2vsXJDY1_shared_1090020,alfalfaRep2vsXJDY1_shared_1090020
alfalfaRep2vsXJDY1_shared_1090488,alfalfaRep2vsXJDY1_shared_1090488
alfalfaRep2vsXJDY1_shared_1090983,alfalfaRep2vsXJDY1_shared_1090983
alfalfaRep2vsXJDY1_shared_1092145,alfalfaRep2vsXJDY1_shared_1092145
alfalfaRep2vsXJDY1_shared_1092527,alfalfaRep2vsXJDY1_shared_1092527
alfalfaRep2vsXJDY1_shared_1092843,alfalfaRep2vsXJDY1_shared_1092843
alfalfaRep2vsXJDY1_shared_109319,alfalfaRep2vsXJDY1_shared_109319
alfalfaRep2vsXJDY1_shared_1093228,alfalfaRep2vsXJDY1_shared_1093228
alfalfaRep2vsXJDY1_shared_1094768,alfalfaRep2vsXJDY1_shared_1094768
alfalfaRep2vsXJDY1_shared_1095459,alfalfaRep2vsXJDY1_shared_1095459
alfalfaRep2vsXJDY1_shared_1095702,alfalfaRep2vsXJDY1_shared_1095702
alfalfaRep2vsXJDY1_shared_1096078,alfalfaRep2vsXJDY1_shared_1096078
alfalfaRep2vsXJDY1_shared_109758,alfalfaRep2vsXJDY1_shared_109758
alfalfaRep2vsXJDY1_shared_1097717,alfalfaRep2vsXJDY1_shared_1097717
alfalfaRep2vsXJDY1_shared_1097813,alfalfaRep2vsXJDY1_shared_1097813
alfalfaRep2vsXJDY1_shared_1098863,alfalfaRep2vsXJDY1_shared_1098863
alfalfaRep2vsXJDY1_shared_1099209,alfalfaRep2vsXJDY1_shared_1099209
alfalfaRep2vsXJDY1_shared_1099697,alfalfaRep2vsXJDY1_shared_1099697
alfalfaRep2vsXJDY1_shared_1099822,alfalfaRep2vsXJDY1_shared_1099822
alfalfaRep2vsXJDY1_shared_1100384,alfalfaRep2vsXJDY1_shared_1100384
alfalfaRep2vsXJDY1_shared_1101538,alfalfaRep2vsXJDY1_shared_1101538
alfalfaRep2vsXJDY1_shared_1101856,alfalfaRep2vsXJDY1_shared_1101856
alfalfaRep2vsXJDY1_shared_1102815,alfalfaRep2vsXJDY1_shared_1102815
alfalfaRep2vsXJDY1_shared_1104470,alfalfaRep2vsXJDY1_shared_1104470
alfalfaRep2vsXJDY1_shared_1105485,alfalfaRep2vsXJDY1_shared_1105485
alfalfaRep2vsXJDY1_shared_1106928,alfalfaRep2vsXJDY1_shared_1106928
alfalfaRep2vsXJDY1_shared_1108362,alfalfaRep2vsXJDY1_shared_1108362
alfalfaRep2vsXJDY1_shared_1108923,alfalfaRep2vsXJDY1_shared_1108923
alfalfaRep2vsXJDY1_shared_1110004,alfalfaRep2vsXJDY1_shared_1110004
alfalfaRep2vsXJDY1_shared_1111136,alfalfaRep2vsXJDY1_shared_1111136
alfalfaRep2vsXJDY1_shared_1111902,alfalfaRep2vsXJDY1_shared_1111902
alfalfaRep2vsXJDY1_shared_1112589,alfalfaRep2vsXJDY1_shared_1112589
alfalfaRep2vsXJDY1_shared_1112932,alfalfaRep2vsXJDY1_shared_1112932
alfalfaRep2vsXJDY1_shared_1114326,alfalfaRep2vsXJDY1_shared_1114326
alfalfaRep2vsXJDY1_shared_1115693,alfalfaRep2vsXJDY1_shared_1115693
alfalfaRep2vsXJDY1_shared_1116242,alfalfaRep2vsXJDY1_shared_1116242
alfalfaRep2vsXJDY1_shared_1116651,alfalfaRep2vsXJDY1_shared_1116651
alfalfaRep2vsXJDY1_shared_1118196,alfalfaRep2vsXJDY1_shared_1118196
alfalfaRep2vsXJDY1_shared_1119197,alfalfaRep2vsXJDY1_shared_1119197
alfalfaRep2vsXJDY1_shared_1120020,alfalfaRep2vsXJDY1_shared_1120020
alfalfaRep2vsXJDY1_shared_1120877,alfalfaRep2vsXJDY1_shared_1120877
alfalfaRep2vsXJDY1_shared_112172,alfalfaRep2vsXJDY1_shared_112172
alfalfaRep2vsXJDY1_shared_1121764,alfalfaRep2vsXJDY1_shared_1121764
alfalfaRep2vsXJDY1_shared_1122647,alfalfaRep2vsXJDY1_shared_1122647
alfalfaRep2vsXJDY1_shared_1124758,alfalfaRep2vsXJDY1_shared_1124758
alfalfaRep2vsXJDY1_shared_1125419,alfalfaRep2vsXJDY1_shared_1125419
alfalfaRep2vsXJDY1_shared_1126272,alfalfaRep2vsXJDY1_shared_1126272
alfalfaRep2vsXJDY1_shared_1127722,alfalfaRep2vsXJDY1_shared_1127722
alfalfaRep2vsXJDY1_shared_1128932,alfalfaRep2vsXJDY1_shared_1128932
alfalfaRep2vsXJDY1_shared_1129783,alfalfaRep2vsXJDY1_shared_1129783
alfalfaRep2vsXJDY1_shared_1131152,alfalfaRep2vsXJDY1_shared_1131152
alfalfaRep2vsXJDY1_shared_113174,alfalfaRep2vsXJDY1_shared_113174
alfalfaRep2vsXJDY1_shared_1132129,alfalfaRep2vsXJDY1_shared_1132129
alfalfaRep2vsXJDY1_shared_1134551,alfalfaRep2vsXJDY1_shared_1134551
alfalfaRep2vsXJDY1_shared_1136690,alfalfaRep2vsXJDY1_shared_1136690
alfalfaRep2vsXJDY1_shared_113702,alfalfaRep2vsXJDY1_shared_113702
alfalfaRep2vsXJDY1_shared_1138048,alfalfaRep2vsXJDY1_shared_1138048
alfalfaRep2vsXJDY1_shared_1138525,alfalfaRep2vsXJDY1_shared_1138525
alfalfaRep2vsXJDY1_shared_1140202,alfalfaRep2vsXJDY1_shared_1140202
alfalfaRep2vsXJDY1_shared_1141502,alfalfaRep2vsXJDY1_shared_1141502
alfalfaRep2vsXJDY1_shared_1141948,alfalfaRep2vsXJDY1_shared_1141948
alfalfaRep2vsXJDY1_shared_1142248,alfalfaRep2vsXJDY1_shared_1142248
alfalfaRep2vsXJDY1_shared_1143063,alfalfaRep2vsXJDY1_shared_1143063
alfalfaRep2vsXJDY1_shared_1143488,alfalfaRep2vsXJDY1_shared_1143488
alfalfaRep2vsXJDY1_shared_1143701,alfalfaRep2vsXJDY1_shared_1143701
alfalfaRep2vsXJDY1_shared_114372,alfalfaRep2vsXJDY1_shared_114372
alfalfaRep2vsXJDY1_shared_1145552,alfalfaRep2vsXJDY1_shared_1145552
alfalfaRep2vsXJDY1_shared_1146857,alfalfaRep2vsXJDY1_shared_1146857
alfalfaRep2vsXJDY1_shared_1148029,alfalfaRep2vsXJDY1_shared_1148029
alfalfaRep2vsXJDY1_shared_1148661,alfalfaRep2vsXJDY1_shared_1148661
alfalfaRep2vsXJDY1_shared_1149452,alfalfaRep2vsXJDY1_shared_1149452
alfalfaRep2vsXJDY1_shared_1150599,alfalfaRep2vsXJDY1_shared_1150599
alfalfaRep2vsXJDY1_shared_115183,alfalfaRep2vsXJDY1_shared_115183
alfalfaRep2vsXJDY1_shared_1152689,alfalfaRep2vsXJDY1_shared_1152689
alfalfaRep2vsXJDY1_shared_1153076,alfalfaRep2vsXJDY1_shared_1153076
alfalfaRep2vsXJDY1_shared_1153999,alfalfaRep2vsXJDY1_shared_1153999
alfalfaRep2vsXJDY1_shared_1154882,alfalfaRep2vsXJDY1_shared_1154882
alfalfaRep2vsXJDY1_shared_115498,alfalfaRep2vsXJDY1_shared_115498
alfalfaRep2vsXJDY1_shared_1156022,alfalfaRep2vsXJDY1_shared_1156022
alfalfaRep2vsXJDY1_shared_1158342,alfalfaRep2vsXJDY1_shared_1158342
alfalfaRep2vsXJDY1_shared_1159210,alfalfaRep2vsXJDY1_shared_1159210
alfalfaRep2vsXJDY1_shared_116082,alfalfaRep2vsXJDY1_shared_116082
alfalfaRep2vsXJDY1_shared_1160887,alfalfaRep2vsXJDY1_shared_1160887
alfalfaRep2vsXJDY1_shared_1161574,alfalfaRep2vsXJDY1_shared_1161574
alfalfaRep2vsXJDY1_shared_1162842,alfalfaRep2vsXJDY1_shared_1162842
alfalfaRep2vsXJDY1_shared_1163978,alfalfaRep2vsXJDY1_shared_1163978
alfalfaRep2vsXJDY1_shared_1164651,alfalfaRep2vsXJDY1_shared_1164651
alfalfaRep2vsXJDY1_shared_1165679,alfalfaRep2vsXJDY1_shared_1165679
alfalfaRep2vsXJDY1_shared_1167054,alfalfaRep2vsXJDY1_shared_1167054
alfalfaRep2vsXJDY1_shared_1167334,alfalfaRep2vsXJDY1_shared_1167334
alfalfaRep2vsXJDY1_shared_1169178,alfalfaRep2vsXJDY1_shared_1169178
alfalfaRep2vsXJDY1_shared_116977,alfalfaRep2vsXJDY1_shared_116977
alfalfaRep2vsXJDY1_shared_1170508,alfalfaRep2vsXJDY1_shared_1170508
alfalfaRep2vsXJDY1_shared_1171100,alfalfaRep2vsXJDY1_shared_1171100
alfalfaRep2vsXJDY1_shared_1172255,alfalfaRep2vsXJDY1_shared_1172255
alfalfaRep2vsXJDY1_shared_1172490,alfalfaRep2vsXJDY1_shared_1172490
alfalfaRep2vsXJDY1_shared_1172993,alfalfaRep2vsXJDY1_shared_1172993
alfalfaRep2vsXJDY1_shared_117372,alfalfaRep2vsXJDY1_shared_117372
alfalfaRep2vsXJDY1_shared_1174220,alfalfaRep2vsXJDY1_shared_1174220
alfalfaRep2vsXJDY1_shared_1175062,alfalfaRep2vsXJDY1_shared_1175062
alfalfaRep2vsXJDY1_shared_1176393,alfalfaRep2vsXJDY1_shared_1176393
alfalfaRep2vsXJDY1_shared_1177307,alfalfaRep2vsXJDY1_shared_1177307
alfalfaRep2vsXJDY1_shared_117892,alfalfaRep2vsXJDY1_shared_117892
alfalfaRep2vsXJDY1_shared_1179051,alfalfaRep2vsXJDY1_shared_1179051
alfalfaRep2vsXJDY1_shared_1179789,alfalfaRep2vsXJDY1_shared_1179789
alfalfaRep2vsXJDY1_shared_1180843,alfalfaRep2vsXJDY1_shared_1180843
alfalfaRep2vsXJDY1_shared_1181468,alfalfaRep2vsXJDY1_shared_1181468
alfalfaRep2vsXJDY1_shared_1182281,alfalfaRep2vsXJDY1_shared_1182281
alfalfaRep2vsXJDY1_shared_1183416,alfalfaRep2vsXJDY1_shared_1183416
alfalfaRep2vsXJDY1_shared_1184001,alfalfaRep2vsXJDY1_shared_1184001
alfalfaRep2vsXJDY1_shared_118490,alfalfaRep2vsXJDY1_shared_118490
alfalfaRep2vsXJDY1_shared_1185668,alfalfaRep2vsXJDY1_shared_1185668
alfalfaRep2vsXJDY1_shared_1186129,alfalfaRep2vsXJDY1_shared_1186129
alfalfaRep2vsXJDY1_shared_1187187,alfalfaRep2vsXJDY1_shared_1187187
alfalfaRep2vsXJDY1_shared_1187420,alfalfaRep2vsXJDY1_shared_1187420
alfalfaRep2vsXJDY1_shared_1187842,alfalfaRep2vsXJDY1_shared_1187842
alfalfaRep2vsXJDY1_shared_1188662,alfalfaRep2vsXJDY1_shared_1188662
alfalfaRep2vsXJDY1_shared_1189136,alfalfaRep2vsXJDY1_shared_1189136
alfalfaRep2vsXJDY1_shared_118973,alfalfaRep2vsXJDY1_shared_118973
alfalfaRep2vsXJDY1_shared_1189775,alfalfaRep2vsXJDY1_shared_1189775
alfalfaRep2vsXJDY1_shared_1190788,alfalfaRep2vsXJDY1_shared_1190788
alfalfaRep2vsXJDY1_shared_1191322,alfalfaRep2vsXJDY1_shared_1191322
alfalfaRep2vsXJDY1_shared_1191576,alfalfaRep2vsXJDY1_shared_1191576
alfalfaRep2vsXJDY1_shared_1191875,alfalfaRep2vsXJDY1_shared_1191875
alfalfaRep2vsXJDY1_shared_1192483,alfalfaRep2vsXJDY1_shared_1192483
alfalfaRep2vsXJDY1_shared_1193222,alfalfaRep2vsXJDY1_shared_1193222
alfalfaRep2vsXJDY1_shared_1194001,alfalfaRep2vsXJDY1_shared_1194001
alfalfaRep2vsXJDY1_shared_1194076,alfalfaRep2vsXJDY1_shared_1194076
alfalfaRep2vsXJDY1_shared_1194476,alfalfaRep2vsXJDY1_shared_1194476
alfalfaRep2vsXJDY1_shared_1195471,alfalfaRep2vsXJDY1_shared_1195471
alfalfaRep2vsXJDY1_shared_1196569,alfalfaRep2vsXJDY1_shared_1196569
alfalfaRep2vsXJDY1_shared_1196888,alfalfaRep2vsXJDY1_shared_1196888
alfalfaRep2vsXJDY1_shared_1198386,alfalfaRep2vsXJDY1_shared_1198386
alfalfaRep2vsXJDY1_shared_1199014,alfalfaRep2vsXJDY1_shared_1199014
alfalfaRep2vsXJDY1_shared_1199647,alfalfaRep2vsXJDY1_shared_1199647
alfalfaRep2vsXJDY1_shared_1199863,alfalfaRep2vsXJDY1_shared_1199863
alfalfaRep2vsXJDY1_shared_120089,alfalfaRep2vsXJDY1_shared_120089
alfalfaRep2vsXJDY1_shared_1201834,alfalfaRep2vsXJDY1_shared_1201834
alfalfaRep2vsXJDY1_shared_1202866,alfalfaRep2vsXJDY1_shared_1202866
alfalfaRep2vsXJDY1_shared_1204178,alfalfaRep2vsXJDY1_shared_1204178
alfalfaRep2vsXJDY1_shared_1204682,alfalfaRep2vsXJDY1_shared_1204682
alfalfaRep2vsXJDY1_shared_1205197,alfalfaRep2vsXJDY1_shared_1205197
alfalfaRep2vsXJDY1_shared_1205537,alfalfaRep2vsXJDY1_shared_1205537
alfalfaRep2vsXJDY1_shared_1206420,alfalfaRep2vsXJDY1_shared_1206420
alfalfaRep2vsXJDY1_shared_1207098,alfalfaRep2vsXJDY1_shared_1207098
alfalfaRep2vsXJDY1_shared_1207684,alfalfaRep2vsXJDY1_shared_1207684
alfalfaRep2vsXJDY1_shared_1208415,alfalfaRep2vsXJDY1_shared_1208415
alfalfaRep2vsXJDY1_shared_1209860,alfalfaRep2vsXJDY1_shared_1209860
alfalfaRep2vsXJDY1_shared_1210027,alfalfaRep2vsXJDY1_shared_1210027
alfalfaRep2vsXJDY1_shared_1210474,alfalfaRep2vsXJDY1_shared_1210474
alfalfaRep2vsXJDY1_shared_121129,alfalfaRep2vsXJDY1_shared_121129
alfalfaRep2vsXJDY1_shared_1211446,alfalfaRep2vsXJDY1_shared_1211446
alfalfaRep2vsXJDY1_shared_1212791,alfalfaRep2vsXJDY1_shared_1212791
alfalfaRep2vsXJDY1_shared_1213276,alfalfaRep2vsXJDY1_shared_1213276
alfalfaRep2vsXJDY1_shared_1214402,alfalfaRep2vsXJDY1_shared_1214402
alfalfaRep2vsXJDY1_shared_1215065,alfalfaRep2vsXJDY1_shared_1215065
alfalfaRep2vsXJDY1_shared_1215845,alfalfaRep2vsXJDY1_shared_1215845
alfalfaRep2vsXJDY1_shared_1216605,alfalfaRep2vsXJDY1_shared_1216605
alfalfaRep2vsXJDY1_shared_1217299,alfalfaRep2vsXJDY1_shared_1217299
alfalfaRep2vsXJDY1_shared_1218338,alfalfaRep2vsXJDY1_shared_1218338
alfalfaRep2vsXJDY1_shared_1218878,alfalfaRep2vsXJDY1_shared_1218878
alfalfaRep2vsXJDY1_shared_1219382,alfalfaRep2vsXJDY1_shared_1219382
alfalfaRep2vsXJDY1_shared_1220144,alfalfaRep2vsXJDY1_shared_1220144
alfalfaRep2vsXJDY1_shared_122038,alfalfaRep2vsXJDY1_shared_122038
alfalfaRep2vsXJDY1_shared_1221267,alfalfaRep2vsXJDY1_shared_1221267
